Sl.No.,State/UT,No. of Samples Tested (as on 23.07.2018) - Cycle-I (2015-17),No. of Samples Tested (as on 23.07.2018) - Cycle-II (2017-19)
1,Uttar Pradesh,4770399,2254757
2,Maharashtra,2347121,1687259
3,Madhya Pradesh,2313977,1156989
4,Rajasthan,2308013,921000
5,Karnataka,1665765,1031293
6,Gujarat,1589236,847068
7,Andhra Pradesh,1348382,737083
8,Bihar,1308778,458325
9,West Bengal,1300349,378000
10,Tamil Nadu,1274536,724770
11,Telangana,1034678,487627
12,Punjab,835526,69418
13,Haryana,788670,366820
14,Chhattisgarh,703691,580012
15,Odisha,668635,301686
16,Kerala,127585,41072
17,Goa,25000,4453
18,Uttarakhand,135738,82525
19,Himachal Pradesh,69635,67145
20,Jammu & Kashmir,160687,78749
21,Jharkhand,115302,45099
22,Arunachal Pradesh,20532,2690
23,Assam,278707,9068
24,Manipur,20713,4170
25,Meghalaya,39372,13693
26,Mizoram,11986,6150
27,Nagaland,33423,39223
28,Sikkim,13217,1700
29,Tripura,32736,21578
30,Andaman & Nicobar,1405,4236
31,Dadar & Nagar Haveli,2222,0
32,Puducherry,3530,4387
Total,Total,25349546,12428045
