Sl. No.,ZONE,State,Target No. of samples 2015-16,No. of Samples Collected,Name of Samples tested,No. of SHC issued
1,SOUTH ZONE,Andhra Pradesh,400000,401782,401610,607518
2,SOUTH ZONE,Karnataka,533000,0,0,0
3,SOUTH ZONE,Kerala,63800,20000,9000,5064
4,SOUTH ZONE,Tamil Nadu,426000,364576,239366,886692
5,SOUTH ZONE,Telangana,584000,324561,238245,145746
6,WEST ZONE,Gujarat,1366000,1198000,1012098,403000
7,WEST ZONE,Madhya Pradesh,805000,391560,214626,164000
8,WEST ZONE,Maharashtra,911000,768000,336000,63000
9,WEST ZONE,Rajasthan,904000,484000,165000,126374
10,WEST ZONE,Chhattisgarh,292588,100000,68553,43710
11,WEST ZONE,Goa,25000,13993,210,0
12,NORTH ZONE,Haryana,400000,173805,19064,19064
13,NORTH ZONE,Punjab,176000,130674,55700,44742
14,NORTH ZONE,Uttarakhand,67607,27433,21500,29242
15,NORTH ZONE,Uttar Pradesh,1800000,459237,14856,20370
16,NORTH ZONE,Himachal Pradesh,69635,43322,25314,5546
17,NORTH ZONE,J & K,55106,13877,10894,6858
18,EAST ZONE,Bihar,448000,234931,95709,12287
19,EAST ZONE,Jharkhand,47850,22730,5747,3107
20,EAST ZONE,Odisha,310000,96500,72077,53008
21,EAST ZONE,West Bengal,310000,96240,32000,7200
22,NE ZONE,Arunachal Pradesh,9000,0,0,0
23,NE ZONE,Assam,180000,12126,3756,413
24,NE ZONE,Manipur,11000,3000,0,0
25,NE ZONE,Meghalaya,22000,16627,8371,3142
26,NE ZONE,Mizoram,9671,2000,2000,0
27,NE ZONE,Nagaland,11141,30000,20150,1800
28,NE ZONE,Sikkim,13000,65000,65000,0
29,NE ZONE,Tripura,10912,8388,6391,1921
TOTAL,TOTAL,TOTAL,10261310,5502362,3143237,2653804
